Título,  Remesas , Tipo de cambio real (eje derecho) , Balanza petrolera , Balanza no petrolera , Cuenta Corriente 
Ene-Mar 1980, 162.10 , 75.66 ," 1,822.00 "," (1,958.20)"," (1,335.60)"
Abr-Jun 1980, 189.30 , 74.48 ," 2,274.00 "," (2,879.60)"," (2,554.40)"
Jul-Sep 1980, 188.00 , 72.95 ," 2,641.00 "," (3,662.30)"," (3,178.60)"
Oct-Dic 1980, 159.30 , 70.49 ," 2,755.00 "," (4,050.10)"," (3,365.60)"
Ene-Mar 1981, 198.40 , 66.10 ," 3,627.70 "," (4,037.80)"," (2,584.70)"
Abr-Jun 1981, 230.40 , 62.17 ," 3,725.70 "," (4,529.90)"," (3,877.50)"
Jul-Sep 1981, 233.40 , 59.46 ," 2,719.40 "," (4,305.90)"," (5,078.60)"
Oct-Dic 1981, 198.30 , 60.34 ," 3,487.80 "," (4,563.90)"," (4,699.80)"
Ene-Mar 1982, 217.40 , 71.71 ," 2,892.20 "," (3,513.70)"," (4,093.60)"
Abr-Jun 1982, 237.30 , 83.84 ," 3,709.90 "," (2,636.20)"," (2,523.70)"
Jul-Sep 1982, 231.40 , 90.94 ," 4,464.30 "," (1,876.00)", (375.10)
Oct-Dic 1982, 158.70 , 89.14 ," 4,544.60 ", (540.40)," 1,102.20 "
Ene-Mar 1983, 196.00 , 100.17 ," 3,663.70 ", (97.60)," 1,638.40 "
Abr-Jun 1983, 264.60 , 96.54 ," 3,853.70 ", (537.20)," 1,409.10 "
Jul-Sep 1983, 280.70 , 92.88 ," 3,888.50 ", (617.20)," 1,034.30 "
Oct-Dic 1983, 241.70 , 91.26 ," 3,998.80 ", (47.70)," 1,777.90 "
Ene-Mar 1984, 246.80 , 85.51 ," 4,122.20 ", (19.30)," 2,173.70 "
Abr-Jun 1984, 304.90 , 82.54 ," 3,949.50 ", (441.80)," 1,244.00 "
Jul-Sep 1984, 309.40 , 77.84 ," 3,870.20 "," (1,059.80)", 291.20 
Oct-Dic 1984, 266.20 , 74.49 ," 3,727.70 ", (964.60), 474.30 
Ene-Mar 1985, 276.30 , 67.31 ," 3,506.50 "," (1,082.70)", 174.50 
Abr-Jun 1985, 331.20 , 69.69 ," 2,946.80 "," (1,416.70)", (522.20)
Jul-Sep 1985, 300.00 , 82.49 ," 3,530.20 "," (1,471.70)", 314.10 
Oct-Dic 1985, 249.90 , 93.50 ," 3,439.90 "," (1,054.10)", 833.10 
Ene-Mar 1986, 288.70 , 103.61 ," 1,369.90 ", (203.40), (399.70)
Abr-Jun 1986, 343.70 , 114.01 ," 1,162.60 ", (360.70), (851.90)
Jul-Sep 1986, 347.30 , 126.14 ," 1,245.30 ", (172.00), (633.90)
Oct-Dic 1986, 310.40 , 133.08 ," 1,592.30 ", 385.60 , 512.00 
Ene-Mar 1987, 308.30 , 137.55 ," 1,810.20 ", 459.90 ," 1,378.70 "
Abr-Jun 1987, 397.60 , 138.57 ," 2,000.00 ", 528.90 ," 1,522.70 "
Jul-Sep 1987, 411.70 , 130.69 ," 2,065.10 ", (104.40), 530.80 
Oct-Dic 1987, 360.00 , 130.58 ," 1,732.80 ", 294.60 , 806.90 
Ene-Mar 1988, 443.50 , 122.52 ," 1,505.50 ", 173.40 , 759.20 
Abr-Jun 1988, 519.40 , 112.82 ," 1,541.80 ", (394.30), 36.40 
Jul-Sep 1988, 491.30 , 104.05 ," 1,267.40 "," (1,339.80)"," (1,453.50)"
Oct-Dic 1988, 443.30 , 105.44 ," 1,219.40 "," (1,363.90)"," (1,717.80)"
Ene-Mar 1989, 576.90 , 101.08 ," 1,460.00 "," (1,054.50)"," (1,030.40)"
Abr-Jun 1989, 596.80 , 99.43 ," 1,649.40 "," (1,449.00)"," (1,271.00)"
Jul-Sep 1989, 511.50 , 100.05 ," 1,591.20 "," (1,526.80)"," (2,061.60)"
Oct-Dic 1989, 527.20 , 101.63 ," 1,770.10 "," (2,035.40)"," (1,458.30)"
Ene-Mar 1990, 490.40 , 98.88 ," 1,671.10 "," (1,129.30)"," (2,190.90)"
Abr-Jun 1990, 628.50 , 98.38 ," 1,232.90 "," (2,121.90)"," (1,658.80)"
Jul-Sep 1990, 768.40 , 100.31 ," 2,524.00 "," (2,853.60)"," (1,778.30)"
Oct-Dic 1990, 606.30 , 102.42 ," 3,268.80 "," (3,474.40)"," (1,823.10)"
Ene-Mar 1991, 542.40 , 96.42 ," 1,617.70 "," (2,579.70)"," (2,143.00)"
Abr-Jun 1991, 768.50 , 90.37 ," 1,534.00 "," (3,052.30)"," (3,851.90)"
Jul-Sep 1991, 744.40 , 89.39 ," 1,666.20 "," (3,797.90)"," (4,157.60)"
Oct-Dic 1991, 604.80 , 90.11 ," 1,521.70 "," (4,188.70)"," (4,494.20)"
